"No."	"Lemma"	"Total no. in whole corpus"	"Expected collocate frequency"	"Observed collocate frequency"	"In no. of texts"	"Dice coefficient value"
342	tamen	133441	25.215	25	25	0
343	humilis	17138	3.238	5	5	0
344	conscientia	16300	3.08	6	6	0
345	terra	142962	27.014	24	24	0
346	alibi	11764	2.223	5	5	0
347	qui2	2808818	530.76	476	341	0
348	ostendo	58004	10.961	13	13	0
349	quisquam	19723	3.727	5	4	0
350	diuinitas	20293	3.835	5	5	0
351	magis	50666	9.574	11	10	0
352	concupiscentia	11451	2.164	5	4	0
353	tertius	45355	8.57	10	10	0
354	uelut2	26523	5.012	6	6	0
355	uero1	174906	33.051	30	30	0
356	inquio	91323	17.257	15	15	0
357	secundum1	93339	17.638	16	16	0
358	nisi	122305	23.111	18	18	0
359	fero	34928	6.6	7	7	0
360	nos	304182	57.479	48	43	0
361	!	28522	5.39	6	6	0
362	quasi	103417	19.542	19	18	0
363	quidam	125595	23.733	21	20	0
364	a	664089	125.488	92	84	0
365	tantus	72876	13.771	15	15	0
366	reliquus	17176	3.246	5	5	0
367	minus	23820	4.501	7	6	0
368	impleo	28488	5.383	6	6	0
369	deinde	26627	5.032	6	6	0
370	oratio	42712	8.071	8	7	0
371	christus	268028	50.647	45	40	0
372	struo	11052	2.088	5	5	0
373	quomodo	53351	10.081	11	9	0
374	pariter	15528	2.934	6	6	0
375	cogo	13093	2.474	5	5	0
376	dominus	420905	79.535	62	55	0
377	hostis	29670	5.607	7	7	0
378	in	2232230	421.806	344	249	0
379	tum	88173	16.661	18	18	0
380	sacramentum	31108	5.878	7	6	0
381	nunc	76929	14.537	13	11	0
382	opero	29460	5.567	8	8	0
383	pars	90103	17.026	19	19	0
384	meus	230405	43.538	35	32	0
385	nascor	39443	7.453	9	9	0
386	seruus2	49327	9.321	12	12	0
387	is2	1392674	263.162	233	178	0
388	prosum	16493	3.117	6	5	0
389	uolo2	114425	21.622	18	17	0
390	puto	38766	7.325	8	8	0
391	officium	33983	6.422	8	8	0
392	oporteo	27433	5.184	6	6	0
393	oro	29957	5.661	8	8	0
394	circa2	17996	3.401	6	6	0
395	mallus1	44023	8.319	8	8	0
396	affero	11415	2.157	5	5	0
397	miser	13748	2.598	5	5	0
398	examplum	32786	6.195	8	8	0
399	inde	36394	6.877	8	8	0
400	mortalis	13380	2.528	5	5	0
401	nimirum	14557	2.751	5	5	0
402	fio	110043	20.794	17	17	0
403	licet	26151	4.942	6	6	0
404	substantia	27702	5.235	6	6	0
405	doleo	11144	2.106	5	5	0
406	suscipio	51943	9.815	12	12	0
407	contineo	20860	3.942	7	7	0
408	alter	54805	10.356	11	10	0
409	inter	88091	16.646	16	16	0
410	si	412256	77.901	75	61	0
411	desidero	17785	3.361	6	6	0
412	lignum	17985	3.399	6	6	0
413	paruus	34453	6.51	9	9	0
414	postea	24716	4.67	6	6	0
415	interdum	9423	1.781	5	5	0
416	primus	80088	15.134	13	13	0
417	uir	96058	18.151	18	18	0
418	sic	138107	26.097	25	25	0
419	fides	131896	24.923	24	22	0
420	ipse2	430181	81.288	64	60	0
421	cepio	30907	5.84	7	7	0
422	discipulus	20412	3.857	5	5	0
423	ibi	56194	10.619	12	12	0
424	conuerto	21948	4.147	7	7	0
425	sacerdos	48324	9.131	9	8	0
426	ualde	15112	2.856	6	6	0
427	nescio	27762	5.246	7	7	0
428	quoniam	82315	15.554	14	12	0
429	homo	277540	52.445	38	32	0
430	mens	69929	13.214	15	14	0
431	resurrectio	25471	4.813	7	7	0
432	se	402862	76.126	64	59	0
433	damno	19871	3.755	5	5	0
434	nihil	77735	14.689	16	15	0
435	quinque	15539	2.936	5	5	0
436	recipio	35233	6.658	7	7	0
437	retineo	13348	2.522	5	5	0
438	eternus	70466	13.315	12	10	0
439	ex	310057	58.589	42	38	0
440	exhibeo	21219	4.01	6	5	0
441	mundus1	20047	3.788	6	6	0
442	satis	18798	3.552	5	4	0
443	de	670354	126.671	87	76	0
444	intellego	86740	16.391	18	17	0
445	inuicem	14175	2.679	5	3	0
446	amor	36869	6.967	7	7	0
447	cor	132902	25.113	17	16	0
448	mortuus	33256	6.284	5	5	0
449	loquor	84792	16.023	10	10	0
450	tantum	49370	9.329	6	5	0
451	transeo	30676	5.797	5	5	0
452	(	529486	100.053	50	45	0
453	christianus1	28446	5.375	5	5	0
454	5	42358	8.004	6	6	0
455	quod	275741	52.105	36	34	0
456	ratio	50999	9.637	8	8	0
457	magnus	130141	24.592	14	14	0
458	tu	287785	54.38	38	38	0
459	sacer	37335	7.055	6	6	0
460	salus	46730	8.83	6	6	0
461	scio	69200	13.076	9	9	0
462	uerum1	39573	7.478	5	5	0
463	uniuersi	26391	4.987	5	5	0
464	tres	56314	10.641	6	6	0
465	modo2	56346	10.647	6	6	0
466	uenio	54068	10.217	6	4	0
467	pro	198734	37.553	25	24	0
468	bonus	141665	26.769	13	13	0
469	soleo	23970	4.529	5	5	0
470	casa	72070	13.619	11	10	0
471	talis	68550	12.953	7	7	0
472	ideo	64375	12.164	8	7	0
473	ago	83744	15.824	12	12	0
474	mors	90174	17.039	12	12	0
475	audio	107337	20.283	15	14	0
476	inuenio	77817	14.704	10	9	0
477	quippe	37138	7.018	6	6	0
478	locus	118462	22.385	14	14	0
479	altar	25562	4.83	5	5	0
480	animus	43434	8.207	6	5	0
481	cura	21016	3.971	5	5	0
482	iterum	29619	5.597	6	6	0
483	caput	46690	8.823	6	6	0
484	ceterus	60436	11.42	6	6	0
485	sub	68865	13.013	8	8	0
486	hinc	29087	5.496	5	5	0
487	rectus	36680	6.931	5	5	0
488	duco	36971	6.986	7	7	0
489	ecce	45236	8.548	6	5	0
490	respondeo	44354	8.381	5	5	0
491	uideo	260745	49.271	34	33	0
492	fortis	21453	4.054	5	5	0
493	iam	119877	22.652	17	17	0
494	sepe	26093	4.931	5	5	0
