"No."	"Lemma"	"Total no. in whole corpus"	"Expected collocate frequency"	"Observed collocate frequency"	"In no. of texts"	"Dice coefficient value"
1636	mallus1	44023	49.912	14	13	0
1637	sano	12938	14.669	6	6	0
1638	ibidem	10590	12.007	6	6	0
1639	regnum	72632	82.348	20	19	0
1640	deinceps1	8574	9.721	6	6	0
1641	lectum1	4589	5.203	5	5	0
1642	depono	10936	12.399	6	5	0
1643	eternitas	6420	7.279	5	4	0
1644	nempe	4897	5.552	5	4	0
1645	habitus	8438	9.567	6	6	0
1646	dispenso	2935	3.328	5	5	0
1647	superbus	11142	12.633	6	5	0
1648	senex1	7953	9.017	6	6	0
1649	misa	14465	16.4	6	6	0
1650	taceo	12744	14.449	6	5	0
1651	regula1	16510	18.719	8	7	0
1652	frumentum	3849	4.364	5	5	0
1653	beatus	98593	111.782	25	25	0
1654	libenter	7640	8.662	5	5	0
1655	nimium2	4450	5.045	5	5	0
1656	purgo	8277	9.384	5	5	0
1657	dispono	15115	17.137	7	7	0
1658	qualiter	12080	13.696	7	7	0
1659	amplus	4128	4.68	5	5	0
1660	appello1	25043	28.393	9	9	0
1661	mereo2	11679	13.241	7	7	0
1662	metuo	7099	8.049	5	5	0
1663	ardeo	9114	10.333	5	5	0
1664	remissio	8506	9.644	5	5	0
1665	derelinquo	8134	9.222	6	6	0
1666	turba1	11146	12.637	6	6	0
1667	promptus2	4214	4.778	5	5	0
1668	consolo	6661	7.552	5	5	0
1669	uia	46939	53.218	13	11	0
1670	digno	16516	18.725	8	8	0
1671	unguentum	4456	5.052	5	5	0
1672	quinque	15539	17.618	7	7	0
1673	redemptio	7380	8.367	5	5	0
1674	morum	4697	5.325	5	5	0
1675	actus	14073	15.956	7	6	0
1676	indico1	11027	12.502	6	6	0
1677	uersus2	10470	11.871	6	4	0
1678	perago	9714	11.014	6	5	0
1679	conspectus2	14319	16.235	7	5	0
1680	exigo	13444	15.242	6	6	0
1681	subdo	14755	16.729	7	7	0
1682	annus	97379	110.406	23	20	0
1683	femen	7675	8.702	5	5	0
1684	rapina1	3897	4.418	5	5	0
1685	custodio2	18108	20.53	8	8	0
1686	impossibilis	4880	5.533	5	5	0
