"No."	"Lemma"	"Total no. in whole corpus"	"Expected collocate frequency"	"Observed collocate frequency"	"In no. of texts"	"Dice coefficient value"
783	magnus	130141	147.55	77	71	0.001
784	uitis	5964	6.762	11	9	0.001
785	portio	4003	4.539	10	10	0.001
786	estus	2680	3.039	10	10	0.001
787	etsi	15026	17.036	15	14	0.001
788	spes	31578	35.802	24	24	0.001
789	infantia	2502	2.837	10	9	0.001
790	guttur	1676	1.9	10	9	0.001
791	sufficiens	1656	1.878	9	9	0.001
792	famelicus	360	0.408	9	9	0.001
793	semen	18552	21.034	18	18	0.001
794	efficio	15459	17.527	16	16	0.001
795	ops	7325	8.305	12	12	0.001
796	folium	3347	3.795	10	7	0.001
797	nouale	139	0.158	9	7	0.001
798	citra2	1163	1.319	9	7	0.001
799	utrum	12590	14.274	14	13	0.001
800	modus	31089	35.248	24	23	0.001
801	teneo	55641	63.084	32	23	0.001
802	descendo	24461	27.733	20	18	0.001
803	ingurgito	142	0.161	9	7	0.001
804	rursum	18308	20.757	17	14	0.001
805	contendo	9542	10.818	13	12	0.001
806	uigilia	6738	7.639	12	11	0.001
807	cedo2	11547	13.092	14	14	0.001
808	exsultatio	4731	5.364	11	9	0.001
809	apiscor	1919	2.176	10	8	0.001
810	seruo	33608	38.104	23	23	0.001
811	admitto	10598	12.016	13	11	0.001
812	discipula	10227	11.595	13	12	0.001
813	exquiro	2638	2.991	10	10	0.001
814	quanto	17613	19.969	16	14	0.001
815	coruus	1345	1.525	9	9	0.001
816	inuisibilis	8544	9.687	12	12	0.001
817	fides	131896	149.54	66	55	0.001
818	at	20538	23.285	18	18	0.001
819	exterus	8330	9.444	12	11	0.001
820	quisquis1	36782	41.702	25	23	0.001
821	poto	2686	3.045	10	9	0.001
822	gaudeo	22946	26.016	19	18	0.001
823	uelo	2350	2.664	10	3	0.001
824	casa	72070	81.711	40	37	0.001
825	subsidium	2333	2.645	10	10	0.001
826	oblo	1820	2.064	10	9	0.001
827	semel	10781	12.223	13	12	0.001
828	esuries	607	0.688	9	9	0.001
829	excepto	2864	3.247	10	7	0.001
830	nudus	6702	7.599	12	12	0.001
831	familia	6111	6.929	12	12	0.001
832	quomodo	53351	60.488	32	28	0.001
833	largior	6218	7.05	12	12	0.001
834	balneum	896	1.016	9	9	0.001
835	incorruptibilis	1445	1.638	9	7	0.001
836	paucus	19110	21.666	17	16	0.001
837	profectus	4067	4.611	10	10	0.001
838	pectus	10201	11.566	14	13	0.001
839	uarietas	3913	4.436	10	10	0.001
840	prouideo	8919	10.112	13	13	0.001
841	hebdomas	4614	5.231	11	10	0.001
842	amitto	13348	15.134	15	14	0.001
843	pars	90103	102.156	52	47	0.001
844	condemno	7266	8.238	12	12	0.001
845	nonne	12149	13.774	14	14	0.001
846	disciplina	15219	17.255	17	14	0.001
847	medicamentum	1476	1.673	10	8	0.001
848	fenum	3574	4.052	10	10	0.001
849	edulium	409	0.464	9	9	0.001
850	sollicitudo	10213	11.579	13	13	0.001
851	surgo	15588	17.673	16	16	0.001
852	opportunus	4592	5.206	11	9	0.001
853	impendo	4576	5.188	11	11	0.001
854	patior	27676	31.378	22	21	0.001
855	sacrilegus1	2166	2.456	10	9	0.001
856	usque	86805	98.417	46	41	0.001
857	lacteus	311	0.353	9	9	0.001
858	grauo	5746	6.515	11	11	0.001
859	humanitas	10927	12.389	13	11	0.001
860	sumptuosus	275	0.312	9	6	0.001
861	minus	23820	27.006	19	19	0.001
862	seruiens	1610	1.825	9	8	0.001
863	temperatus	157	0.178	9	8	0.001
864	necesse	18637	21.13	18	16	0.001
865	uestimentor	625	0.709	9	8	0.001
866	exeo	22744	25.787	20	15	0.001
867	subuenio	5029	5.702	11	10	0.001
868	iacto	4217	4.781	11	11	0.001
869	supernus	12232	13.868	14	14	0.001
870	multus	108614	123.143	58	52	0.001
871	fructifero	1740	1.973	10	10	0.001
872	uicis	11248	12.753	14	14	0.001
873	suadeo	5993	6.795	12	11	0.001
874	sanitas	6588	7.469	12	12	0.001
875	)	529289	600.093	238	167	0.001
876	oporteo	27433	31.103	20	20	0.001
877	nemo	32213	36.522	22	21	0.001
878	ago	83744	94.947	46	40	0.001
879	ructus	96	0.109	9	7	0.001
880	discipulus	20412	23.143	18	17	0.001
881	procuro	4743	5.378	11	11	0.001
882	nequaquam	14615	16.57	15	14	0.001
883	liquidus	1339	1.518	9	9	0.001
884	robustus	2807	3.183	10	9	0.001
885	contemno	17374	19.698	16	14	0.001
886	uoracitas	249	0.282	8	8	0.001
887	fere	7781	8.822	11	11	0.001
888	delectabiliter	590	0.669	8	8	0.001
889	incipio	18683	21.182	15	15	0.001
890	letalis	785	0.89	8	7	0.001
891	genu	20753	23.529	16	16	0.001
892	glutio	370	0.42	8	8	0.001
893	promitto	23310	26.428	17	15	0.001
894	exsisto	28152	31.918	19	18	0.001
895	usurpo	4330	4.909	10	10	0.001
896	cogo	13093	14.845	13	13	0.001
897	molo	471	0.534	8	8	0.001
898	tendo	9596	10.88	11	10	0.001
899	emitto	6149	6.972	10	7	0.001
900	multitudo	19776	22.422	16	15	0.001
901	pecco	32391	36.724	20	18	0.001
902	rapax	1290	1.463	8	7	0.001
903	posco	5819	6.597	10	10	0.001
904	dux1	25828	29.283	17	17	0.001
905	sentio	29963	33.971	19	18	0.001
906	collum	4274	4.846	10	7	0.001
907	seruio	20152	22.848	16	16	0.001
908	repono	3489	3.956	9	9	0.001
909	sollemnitas	6133	6.953	10	10	0.001
910	uacuus	5815	6.593	11	10	0.001
911	umquam	9204	10.435	11	10	0.001
912	tecum	6545	7.421	14	10	0.001
913	religiosus1	12290	13.934	13	13	0.001
914	aliter	17625	19.983	14	13	0.001
915	contero	6574	7.453	10	10	0.001
916	sacramentum	31108	35.269	21	20	0.001
917	dispensatio	5898	6.687	10	10	0.001
918	medicina	4053	4.595	9	9	0.001
919	iter	15981	18.119	14	14	0.001
920	hinc	29087	32.978	20	18	0.001
921	qualiscumque	3164	3.587	9	9	0.001
922	internus	4929	5.588	10	8	0.001
923	52	854	0.968	8	8	0.001
924	regularis1	4334	4.914	10	9	0.001
925	accurate	229	0.26	8	7	0.001
926	traho	15572	17.655	14	12	0.001
927	ueritas	68144	77.26	34	32	0.001
928	extra2	11771	13.346	12	12	0.001
929	animo	3609	4.092	9	9	0.001
930	crapulor	165	0.187	8	7	0.001
931	ardor	4497	5.099	9	9	0.001
932	cunctus	41653	47.225	25	25	0.001
933	serua	4533	5.139	9	9	0.001
934	fragmentum	1050	1.191	8	8	0.001
935	presepe	980	1.111	8	8	0.001
936	canis	3513	3.983	9	8	0.001
937	ingluuies	483	0.548	8	8	0.001
938	sacerdos	48324	54.788	26	22	0.001
939	saltem	9282	10.524	12	12	0.001
940	plures	16959	19.228	14	13	0.001
941	morior	46808	53.07	25	23	0.001
942	euangelium	41469	47.016	23	20	0.001
943	suffoco	1490	1.689	8	8	0.001
944	coemo	167	0.189	8	6	0.001
945	attingo1	4112	4.662	9	9	0.001
946	eloquium	9793	11.103	12	11	0.001
947	totus	103392	117.223	51	43	0.001
948	sagma	3313	3.756	9	8	0.001
949	uir	96058	108.908	44	38	0.001
950	quemadmodum	14844	16.83	13	10	0.001
951	quispiam	4982	5.648	10	10	0.001
952	olim	10018	11.358	12	10	0.001
953	tertius	45355	51.422	25	18	0.001
954	mundus2	73097	82.875	37	29	0.001
955	mysticus	6676	7.569	11	11	0.001
956	contamino	2098	2.379	9	7	0.001
957	copiosus	4191	4.752	10	9	0.001
958	medicus2	5886	6.673	10	10	0.001
959	fessus	900	1.02	8	8	0.001
960	predo	1211	1.373	8	8	0.001
961	liquor2	1405	1.593	8	8	0.001
962	dico1	82229	93.229	39	28	0.001
963	quantus	26429	29.964	19	18	0.001
964	posterus	11567	13.114	12	11	0.001
965	murmuro	2697	3.058	9	8	0.001
966	reperio	17364	19.687	15	14	0.001
967	soluo	20039	22.72	15	14	0.001
968	uenio	54068	61.301	30	28	0.001
969	noto	13239	15.01	13	13	0.001
970	uideo	260745	295.625	110	89	0.001
971	pinguesco	349	0.396	8	8	0.001
972	sensus	29972	33.981	19	19	0.001
973	iustitia	61353	69.56	31	27	0.001
974	esuritio	26	0.03	8	7	0.001
975	neglegenter	1470	1.667	8	8	0.001
976	differo	11939	13.536	13	13	0.001
977	immolatum	434	0.492	8	8	0.001
978	opulentia	574	0.651	8	8	0.001
979	mors	90174	102.237	46	40	0.001
980	pater	205243	232.699	85	67	0.001
981	furtum	3240	3.673	9	9	0.001
982	interim	8841	10.024	11	10	0.001
983	iecur	542	0.615	8	7	0.001
984	uterque	45021	51.044	26	25	0.001
985	electa	7649	8.672	11	11	0.001
986	lacrima	14249	16.155	14	14	0.001
987	uenenosus	519	0.588	8	8	0.001
988	puer	20638	23.399	17	16	0.001
989	expers	2543	2.883	9	9	0.001
990	malus1	39883	45.218	24	21	0.001
991	ample	18058	20.474	15	14	0.001
992	quotiens	6081	6.895	10	9	0.001
993	arma	12319	13.967	12	9	0.001
994	sermo	46096	52.262	25	25	0.001
995	augeo	7444	8.44	11	11	0.001
996	subsisto	4944	5.605	9	9	0.001
997	hostis	29670	33.639	17	16	0.001
998	mediocris	1565	1.774	7	7	0.001
999	illecebra	2410	2.732	8	8	0.001
1000	cognitio	9145	10.368	10	8	0.001
1001	accuratus	450	0.51	7	6	0.001
1002	transmitto	5665	6.423	9	9	0.001
1003	deputo	7676	8.703	9	8	0.001
1004	uenia	8841	10.024	10	10	0.001
1005	uester	125167	141.911	50	43	0.001
1006	secundum1	93339	105.825	40	35	0.001
1007	fetidus	629	0.713	7	6	0.001
1008	eo2	38141	43.243	19	19	0.001
1009	concupio	7742	8.778	9	8	0.001
1010	transfero	11730	13.299	11	11	0.001
1011	lumen	24627	27.921	16	15	0.001
1012	ingredior	21172	24.004	15	15	0.001
1013	institutio	5397	6.119	9	9	0.001
1014	circa2	17996	20.403	13	13	0.001
1015	plurimus	20718	23.49	15	15	0.001
1016	officium	33983	38.529	19	18	0.001
1017	miles	18064	20.48	13	10	0.001
1018	receptaculum	598	0.678	7	6	0.001
1019	auditor	4949	5.611	8	8	0.001
1020	siquidem	15880	18.004	12	11	0.001
1021	furtiuus	700	0.794	7	7	0.001
1022	reuerendus	2972	3.37	8	8	0.001
1023	periclitor	2264	2.567	8	8	0.001
1024	expello	7075	8.021	9	9	0.001
1025	quatenus	21614	24.505	15	14	0.001
1026	ante1	13605	15.425	11	11	0.001
1027	uniuersi	26391	29.921	16	15	0.001
1028	intra2	12954	14.687	11	11	0.001
1029	mitto	65136	73.849	28	26	0.001
1030	compello2	7801	8.845	10	10	0.001
1031	paternus	6472	7.338	9	9	0.001
1032	desertum	8760	9.932	10	10	0.001
1033	constituo	37883	42.951	21	21	0.001
1034	perfecte	6928	7.855	9	9	0.001
1035	nummus	2089	2.368	7	7	0.001
1036	apostolus	110647	125.448	48	42	0.001
1037	minister1	4209	4.772	8	8	0.001
1038	onus	4721	5.353	8	8	0.001
1039	damno	19871	22.529	13	11	0.001
1040	decoctio	72	0.082	7	6	0.001
1041	parco	10110	11.462	11	11	0.001
1042	nimirum	14557	16.504	12	11	0.001
1043	hordeum	814	0.923	7	7	0.001
1044	oblino	4131	4.684	8	7	0.001
1045	distinguo	6457	7.321	9	4	0.001
1046	appareo	31813	36.069	17	16	0.001
1047	modero	1936	2.195	7	7	0.001
1048	deprimo	3017	3.421	8	7	0.001
1049	infans2	5211	5.908	9	8	0.001
1050	caueo	10320	11.701	10	10	0.001
1051	suppedito	569	0.645	7	5	0.001
1052	egredior	17148	19.442	12	12	0.001
1053	similitudo	19939	22.606	14	9	0.001
1054	requies	9798	11.109	10	10	0.001
1055	peregrinus	6368	7.22	9	8	0.001
1056	purus	11396	12.921	11	11	0.001
1057	cinis	4429	5.022	8	8	0.001
1058	finio	9907	11.232	11	8	0.001
1059	abicio	7453	8.45	9	9	0.001
1060	pregusto	359	0.407	7	5	0.001
1061	mos	16917	19.18	12	12	0.001
1062	naturaliter	4591	5.205	9	8	0.001
1063	capra	1133	1.285	7	7	0.001
1064	nutrimentum	1041	1.18	7	7	0.001
1065	certe	18463	20.933	14	13	0.001
1066	intimus	4348	4.93	8	8	0.001
1067	odor	9468	10.735	10	9	0.001
1068	assero1	14004	15.877	12	12	0.001
1069	assus	386	0.438	7	6	0.001
1070	abundanter	1777	2.015	7	7	0.001
1071	resideo	4932	5.592	8	7	0.001
1072	examplum	32786	37.172	17	15	0.001
1073	humidus	802	0.909	7	5	0.001
1074	austeritas	860	0.975	7	7	0.001
1075	renuo	2168	2.458	8	7	0.001
1076	despicio	7754	8.791	9	8	0.001
1077	ualens	1530	1.735	7	7	0.001
1078	existimo	19142	21.703	14	14	0.001
1079	expeto	4684	5.311	9	8	0.001
1080	occupo1	7274	8.247	10	10	0.001
1081	duco	36971	41.917	20	19	0.001
1082	ministerium	13111	14.865	12	12	0.001
1083	ratio	50999	57.821	23	21	0.001
1084	lauo	9439	10.702	10	9	0.001
1085	concoquo	50	0.057	7	7	0.001
1086	cardo1	6863	7.781	9	9	0.001
1087	nosco	48764	55.287	24	23	0.001
1088	contingo1	16224	18.394	12	12	0.001
1089	cepio	30907	35.042	18	18	0.001
1090	integer	14067	15.949	12	12	0.001
1091	apud	68524	77.691	29	25	0.001
1092	temperans	592	0.671	7	6	0.001
1093	frigidus	2774	3.145	8	8	0.001
1094	quamdiu	8178	9.272	9	9	0.001
1095	obuius	1257	1.425	7	6	0.001
1096	ouis	15834	17.952	12	12	0.001
1097	inanis	5965	6.763	9	9	0.001
1098	multo1	8061	9.139	10	10	0.001
1099	furo1	2493	2.827	8	6	0.001
1100	priusquam	5073	5.752	9	9	0.001
1101	administratio	2316	2.626	8	8	0.001
1102	districtio	2039	2.312	8	8	0.001
1103	diuinitas	20293	23.008	13	10	0.001
1104	pono	80938	91.765	36	33	0.001
1105	fraudo	2053	2.328	7	6	0.001
1106	letus	4900	5.556	9	9	0.001
1107	perpetuus	18411	20.874	13	13	0.001
1108	pietas	24529	27.81	15	14	0.001
1109	ipse1	56297	63.828	28	28	0.001
1110	sequor	69615	78.928	32	31	0.001
1111	impedio	6270	7.109	9	9	0.001
1112	sacratus	4683	5.31	9	8	0.001
1113	exterius	4671	5.296	8	8	0.001
1114	distinctio	3630	4.116	8	8	0.001
1115	antequam	12661	14.355	11	11	0.001
1116	diuitia	13350	15.136	11	11	0.001
1117	credo2	104556	118.543	45	39	0.001
1118	inuitator	63	0.071	7	7	0.001
1119	languor	3565	4.042	8	5	0.001
1120	frequens	3585	4.065	8	8	0.001
1121	condita	1588	1.8	7	7	0.001
1122	patientia	13110	14.864	11	11	0.001
1123	nimis	10256	11.628	11	10	0.001
1124	detraho	4804	5.447	9	6	0.001
1125	capacitas	948	1.075	7	7	0.001
1126	hio	4747	5.382	8	8	0.001
1127	ob	20361	23.085	14	13	0.001
1128	summus	33193	37.633	17	17	0.001
1129	quin	8269	9.375	9	9	0.001
1130	sus	479	0.543	6	6	0.001
1131	pasta1	118	0.134	6	6	0.001
1132	adero	3235	3.668	7	7	0.001
1133	gaudium	24617	27.91	14	14	0.001
1134	deuito	2195	2.489	6	4	0.001
1135	studeo	14707	16.674	10	7	0.001
1136	obedientia	11711	13.278	9	8	0.001
1137	an	29445	33.384	15	14	0.001
1138	quapropter	8059	9.137	8	8	0.001
1139	facilis	4472	5.07	7	7	0.001
1140	diues	12107	13.727	9	7	0.001
1141	aqualiculus	35	0.04	6	6	0.001
1142	minuo	6294	7.136	8	6	0.001
1143	mortuus	33256	37.705	16	15	0.001
1144	frigor	3440	3.9	7	7	0.001
1145	parum	5757	6.527	7	6	0.001
1146	torqueo	4135	4.688	7	6	0.001
1147	sol	28837	32.695	15	15	0.001
1148	retraho	2181	2.473	6	6	0.001
1149	locus	118462	134.309	44	37	0.001
1150	conualesco	1126	1.277	6	5	0.001
1151	sanctus1	286481	324.804	90	85	0.001
1152	quamquam	5955	6.752	8	7	0.001
1153	corrumpo	8634	9.789	9	8	0.001
1154	occasus	2642	2.995	7	7	0.001
1155	intestinum	619	0.702	6	5	0.001
1156	dono	18279	20.724	12	11	0.001
1157	inutilis	4492	5.093	7	7	0.001
1158	sustineo	18594	21.081	12	12	0.001
1159	finis	50546	57.308	22	20	0.001
1160	debilito	1020	1.156	6	6	0.001
1161	fons	17113	19.402	11	11	0.001
1162	deglutio	569	0.645	6	6	0.001
1163	mutatio	2832	3.211	7	6	0.001
1164	ue1	10100	11.451	9	9	0.001
1165	neglego	9010	10.215	9	8	0.001
1166	inferi	2958	3.354	7	6	0.001
1167	rubeus	719	0.815	6	6	0.001
1168	hic2	47538	53.897	21	20	0.001
1169	quandoque2	5176	5.868	8	7	0.001
1170	corruptio	6285	7.126	8	8	0.001
1171	ciuitas	54563	61.862	24	20	0.001
1172	sedeo	27175	30.81	13	13	0.001
1173	9	15736	17.841	10	9	0.001
1174	languens	511	0.579	6	6	0.001
1175	auris	19342	21.929	11	10	0.001
1176	sitis	2535	2.874	7	7	0.001
1177	futurus	44532	50.489	19	18	0.001
1178	cado	22920	25.986	13	13	0.001
1179	pecunia	11360	12.88	9	9	0.001
1180	affligo	8630	9.784	9	9	0.001
1181	prouoco	8342	9.458	8	7	0.001
1182	nouus	49529	56.155	22	20	0.001
1183	certus	22197	25.166	14	13	0.001
1184	corporaliter	3445	3.906	7	7	0.001
1185	idcirco	16607	18.829	10	9	0.001
1186	domesticus2	421	0.477	6	6	0.001
1187	intro3	20753	23.529	12	12	0.001
1188	solide	432	0.49	6	5	0.001
1189	carcer	7907	8.965	8	8	0.001
1190	suauiter	2023	2.294	6	6	0.001
1191	explano	1469	1.666	6	6	0.001
1192	amplexus	1884	2.136	6	6	0.001
1193	intentus1	2400	2.721	7	7	0.001
1194	scio	69200	78.457	25	24	0.001
1195	plenitudo	11144	12.635	9	8	0.001
1196	secto	4580	5.193	7	7	0.001
1197	porro	13956	15.823	10	9	0.001
1198	indeficiens	837	0.949	6	6	0.001
1199	rogo	22829	25.883	13	12	0.001
1200	exhilaro	819	0.929	6	6	0.001
1201	contemplatio	9049	10.26	9	8	0.001
1202	celitus	1556	1.764	6	6	0.001
1203	seculum	49581	56.214	20	20	0.001
1204	aer	8715	9.881	9	8	0.001
1205	uanus	8171	9.264	8	7	0.001
1206	uidua	6190	7.018	8	8	0.001
1207	expono	16540	18.753	10	10	0.001
1208	quare	23297	26.414	12	12	0.001
1209	pinguis	1633	1.851	6	5	0.001
1210	edifico	16581	18.799	11	11	0.001
1211	prauus	11457	12.99	9	8	0.001
1212	temperi	656	0.744	6	6	0.001
1213	fortasse	15289	17.334	10	10	0.001
1214	terra	142962	162.086	48	43	0.001
1215	mustella	119	0.135	6	5	0.001
1216	legumen	507	0.575	6	6	0.001
1217	furor	9064	10.277	8	8	0.001
1218	gero	23517	26.663	13	13	0.001
1219	obscurus	4447	5.042	7	7	0.001
1220	intemperans	327	0.371	6	6	0.001
1221	super	123825	140.389	46	39	0.001
1222	idolum	10025	11.366	9	8	0.001
1223	dormio	12054	13.667	10	9	0.001
1224	coinquino	1219	1.382	7	5	0.001
1225	edoceo	3913	4.436	7	7	0.001
1226	comparo1	9995	11.332	9	9	0.001
1227	terrestris	2116	2.399	6	6	0.001
1228	induco	8545	9.688	8	6	0.001
1229	despectus1	666	0.755	6	6	0.001
1230	nihilominus	8173	9.266	8	8	0.001
1231	excito	8251	9.355	8	7	0.001
1232	longus	14006	15.88	10	10	0.001
1233	magister2	17621	19.978	12	11	0.001
1234	expensa	870	0.986	6	6	0.001
1235	cultus1	988	1.12	6	6	0.001
1236	item	38456	43.6	17	15	0.001
1237	firmus	9827	11.142	9	9	0.001
1238	seruus2	49327	55.926	19	19	0.001
1239	pallens	98	0.111	6	5	0.001
1240	abundo	6781	7.688	8	8	0.001
1241	languesco	329	0.373	6	6	0.001
1242	eremus2	3327	3.772	7	7	0.001
1243	pascua	2411	2.734	7	6	0.001
1244	disco	19151	21.713	11	11	0.001
1245	petra	13912	15.773	10	10	0.001
1246	sapiens	18821	21.339	11	10	0.001
1247	olla	784	0.889	6	6	0.001
1248	immo	19556	22.172	11	10	0.001
1249	daps	727	0.824	6	6	0.001
1250	preceptum	29368	33.297	14	14	0.001
1251	egestas	1405	1.593	6	6	0.001
1252	abnego	2047	2.321	6	6	0.001
1253	parens	15737	17.842	11	11	0.001
1254	munus	24186	27.421	14	14	0.001
1255	demum	5196	5.891	8	8	0.001
1256	propono	15333	17.384	10	10	0.001
1257	luctus	3814	4.324	7	7	0.001
1258	exsecro	1297	1.471	6	6	0.001
1259	rationalis1	5793	6.568	7	7	0.001
1260	septem	19545	22.16	11	10	0.001
1261	comedus1	407	0.461	6	6	0.001
1262	impono	13283	15.06	9	7	0.001
1263	defluo	2213	2.509	6	5	0.001
1264	tollo	14543	16.488	11	10	0.001
1265	erogo	2344	2.658	7	5	0.001
1266	psallo	5031	5.704	7	7	0.001
1267	mala2	11840	13.424	10	9	0.001
1268	uindico	9200	10.431	8	8	0.001
1269	sufficienter	2079	2.357	6	6	0.001
1270	medius1	9797	11.108	9	9	0.001
1271	quodammodo	6350	7.199	8	7	0.001
1272	septimanus	1347	1.527	6	6	0.001
1273	immolaticius	96	0.109	6	5	0.001
1274	importunus	2225	2.523	6	6	0.001
1275	solacium	4207	4.77	7	7	0.001
1276	fugio	20695	23.463	12	11	0.001
1277	indignus	10887	12.343	9	9	0.001
1278	consedeo	8329	9.443	8	8	0.001
1279	habilis	615	0.697	6	6	0.001
1280	uicia	15281	17.325	11	9	0.001
1281	celum	89967	102.002	34	33	0.001
1282	sanctus2	34876	39.541	16	15	0.001
1283	idolothytus	208	0.236	6	5	0.001
1284	securus	9050	10.261	8	7	0.001
1285	cocta	365	0.414	6	5	0.001
1286	receptio	693	0.786	6	3	0.001
1287	prebenda	1821	2.065	6	5	0.001
1288	redeo	26975	30.584	13	13	0.001
1289	abscindo	1822	2.066	6	5	0.001
1290	tres	56314	63.847	24	21	0.001
1291	lingua	26745	30.323	15	14	0.001
1292	inferius2	11491	13.028	9	9	0.001
1293	agnos	4902	5.558	7	6	0.001
1294	captiuo	2046	2.32	6	6	0.001
1295	oblectamen	569	0.645	6	6	0.001
1296	hospes	3673	4.164	7	4	0.001
1297	melius	13351	15.137	10	8	0.001
1298	messis	3133	3.552	7	7	0.001
1299	ariditas	721	0.817	6	4	0.001
1300	cura	21016	23.827	12	12	0.001
1301	educo1	1813	2.056	6	6	0.001
1302	immortalitas	4582	5.195	7	7	0.001
1303	predico1	36264	41.115	16	14	0.001
1304	impietas	7139	8.094	8	7	0.001
1305	mortalitas	3654	4.143	7	3	0.001
1306	relinquo	31698	35.938	16	16	0.001
1307	mysterium	20548	23.297	12	11	0.001
1308	bonum	12295	13.94	9	9	0.001
1309	cana	1396	1.583	6	6	0.001
1310	consto	18724	21.229	12	11	0.001
1311	perimo	4397	4.985	7	7	0.001
1312	contrarius	16386	18.578	10	9	0.001
1313	sugo	885	1.003	6	6	0.001
1314	famulus2	6060	6.871	8	8	0.001
1315	rarus	3396	3.85	7	7	0.001
1316	<unknown>	785834	890.956	241	172	0.001
1317	repello	7333	8.314	8	8	0.001
1318	nefandus	2256	2.558	6	6	0.001
1319	licentia	7605	8.622	8	7	0.001
1320	perficio	15848	17.968	11	11	0.001
1321	strepitus	1709	1.938	6	5	0.001
