"Text"	"No. words in text"	"No. hits in text"	"Freq. per million words"
023_PaHiSt_ReSPa	10398	12	1154.07
023_TheMop_Fragme4	2488	1	401.93
024_AucInc_ApInIs	1898	2	1053.74
024_HieStr_CoInIs	323174	66	204.22
024_HieStr_CoInJe	108411	15	138.36
024_OrHiSt_TrHoInV	17744	13	732.64
025_AuInHiS_InLaJe	3149	2	635.12
025_HieStr_CoInAb	9179	2	217.89
025_HieStr_CoInAb2	30808	13	421.97
025_HieStr_CoInAg	13730	13	946.83
025_HieStr_CoInAm2	51438	10	194.41
025_HieStr_CoInDa	39971	7	175.13
025_HieStr_CoInEz	235914	65	275.52
025_HieStr_CoInJo3	15640	1	63.94
025_HieStr_CoInMa2	17491	10	571.72
025_HieStr_CoInMi	38617	4	103.58
025_HieStr_CoInNa	19547	2	102.32
025_HieStr_CoInOs2	62402	20	320.5
025_HieStr_CoInSo	23666	1	42.25
025_HieStr_CoInZa	62919	2	31.79
025_OrHiSt_TrHoInJ	92048	18	195.55
026_AuInAuH_BrInPs	241048	39	161.79
026_AuInHiS_DeExPs	10920	10	915.75
026_HieStr_CoInEpA14	59535	17	285.55
026_HieStr_CoInEpA15	53705	4	74.48
026_HieStr_CoInEpA16	20332	3	147.55
026_HieStr_CoInEpA17	8456	2	236.52
026_HieStr_CoInJo4	90313	25	276.82
026_HieStr_CoInMa3	84914	38	447.51
026_OrHiSt_TrXxHo	38936	8	205.47
027_EuCaHiS_InChEu	30027	1	33.3
028_HieStr_LiSaEtM	98381	19	193.13
028_HieStr_LiXiPr	25657	4	155.9
028_HieStr_LibDan	14174	6	423.31
028_HieStr_LibDeu	30071	4	133.02
028_HieStr_LibEst	7773	3	385.95
028_HieStr_LibExo	29254	4	136.73
028_HieStr_LibEze	33556	7	208.61
028_HieStr_LibEzr	16459	3	182.27
028_HieStr_LibGen	37811	13	343.82
028_HieStr_LibIsa	31382	2	63.73
028_HieStr_LibJer	39959	4	100.1
028_HieStr_LibJob	16809	5	297.46
028_HieStr_LibJos	19062	1	52.46
028_HieStr_LibJud	18252	4	219.15
028_HieStr_LibLev	20163	8	396.77
028_HieStr_LibNum	29519	4	135.51
028_HieStr_LibPar	41373	4	96.68
028_HieStr_LibPro	12629	8	633.46
028_HieStr_LibPsa	39556	6	151.68
028_HieStr_LibRut	2597	1	385.06
029_HieStr_ActApo	20885	8	383.05
029_HieStr_EpPaAdC	8082	2	247.46
029_HieStr_EpPaAdC3	1828	1	547.05
029_HieStr_EpPaAdH	5735	3	523.1
029_HieStr_EpPaAdR	8220	2	243.31
029_HieStr_EpPaAdT3	2028	1	493.1
029_HieStr_EvSeJo	18529	5	269.85
029_HieStr_EvSeMa	21909	2	91.29
029_HieStr_EvSeMa2	13731	1	72.83
029_HieStr_LibJob2	16855	8	474.64
029_HieStr_LibPsa2	77962	5	64.13
029_HieStr_LibTob	6410	3	468.02
030_AuInHiS_CanPoe	4044	4	989.12
030_AuInHiS_CoInEpP	121462	15	123.5
030_AuInHiS_CoInMa4	29569	3	101.46
030_AuInHiS_Episto34	148734	32	215.15
030_AuInHiS_ExpEva	30502	10	327.85
030_AuInHiS_LibCom	21099	2	94.79
030_AuInHiS_RegMon	15313	9	587.74
030_AucInc_HoAdMo	3796	6	1580.61
030_LuDeOl_ReMoExS	31145	65	2087.01
031_Orosiu_Histor	92657	6	64.75
032_AuInAuH_CatX	14277	4	280.17
032_AuInAuH_DeViEr	14225	14	984.18
032_AugHip_ConAca	26390	1	37.89
032_AugHip_Confes2	99399	22	221.33
032_AugHip_DeBeVi	9205	9	977.73
032_AugHip_DeLiAr	44731	13	290.63
032_AugHip_DeMoEc	33257	31	932.13
032_AugHip_Regula	2737	1	365.36
032_AugHip_Retrac	35965	3	83.41
032_AugHip_Solilo	19115	2	104.63
032_PosCal_ViSAu	12587	3	238.34
033_AuInAuH_Append6	44616	8	179.31
033_AugHip_Episto36	505057	63	124.74
034_AugHip_AnInJo	33815	14	414.02
034_AugHip_DeCoEv	188466	8	42.45
034_AugHip_DeDoCh	50429	6	118.98
034_AugHip_DeGeAdL	117450	21	178.8
034_AugHip_DeGeCoM	23404	4	170.91
034_AugHip_DeSeDoI	42178	27	640.14
034_AugHip_DeVeRe	24292	2	82.33
